title,score,year,country,genre
少年派的奇幻漂流,9.1,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险
钢琴家,9.3,2002,英国 法国 波兰 德国 美国,剧情 传记 战争 音乐
死亡诗社,9.2,1989,美国,剧情
指环王2：双塔奇兵,9.2,2002,美国 新西兰,剧情 动作 奇幻 冒险
大话西游之月光宝盒,9.0,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
绿皮书,8.9,2018,美国 中国大陆,剧情 喜剧 传记 音乐
何以为家,9.1,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情
闻香识女人,9.1,1992,美国,剧情
大闹天宫,9.4,1961,1964(中国大陆),1978(中国大陆)
黑客帝国,9.1,1999,美国,动作 科幻
指环王1：护戒使者,9.1,2001,新西兰 美国 英国,剧情 动作 奇幻 冒险
罗马假日,9.1,1953,美国,喜剧 剧情 爱情
教父2,9.3,1974,美国,剧情 犯罪
狮子王,9.1,1994,美国,动画 冒险 歌舞
天堂电影院,9.2,1988,意大利 法国,剧情 爱情
饮食男女,9.2,1994,中国台湾 美国,剧情 家庭
辩护人,9.2,2013,韩国,剧情
本杰明·巴顿奇事,9.0,2008,美国,剧情 爱情 奇幻
搏击俱乐部,9.0,1999,美国,剧情 动作 悬疑 惊悚
美丽心灵,9.1,2001,美国,传记 剧情
穿条纹睡衣的男孩,9.2,2008,英国 美国,剧情 战争
哈利·波特与死亡圣器(下),9.0,2011,美国 英国,奇幻 冒险
两杆大烟枪,9.1,1998,英国,剧情 喜剧 犯罪
情书,8.9,1995,日本,剧情 爱情
窃听风暴,9.2,2006,德国,剧情 悬疑
功夫,8.9,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻
音乐之声,9.1,1965,美国,剧情 传记 爱情 歌舞
哈利·波特与阿兹卡班的囚徒,9.0,2004,英国 美国,奇幻 冒险
阿凡达,8.8,2009,美国,动作 科幻 冒险
西西里的美丽传说,8.9,2000,意大利 美国,剧情 战争 情色
看不见的客人,8.8,2016,西班牙,剧情 犯罪 悬疑 惊悚
拯救大兵瑞恩,9.1,1998,美国,剧情 战争
沉默的羔羊,8.9,1991,美国,剧情 犯罪 惊悚
小鞋子,9.2,1997,伊朗,剧情 儿童 家庭
蝴蝶效应,8.9,2004,美国 加拿大,剧情 悬疑 科幻 惊悚
布达佩斯大饭店,8.9,2014,美国 德国 英国,剧情 喜剧 冒险
还有明天,9.3,2023,意大利,剧情 喜剧 历史
飞越疯人院,9.1,1975,美国,剧情
禁闭岛,8.9,2010,美国,剧情 悬疑 惊悚
心灵捕手,9.0,1997,美国,剧情
致命魔术,8.9,2006,英国 美国,剧情 悬疑 惊悚
低俗小说,8.9,1994,美国,剧情 喜剧 犯罪
哈利·波特与密室,8.9,2002,英国 美国,奇幻 冒险
超脱,9.0,2011,美国,剧情
一一,9.1,2000,中国台湾 日本,剧情 爱情 家庭
喜剧之王,8.8,1999,中国香港,喜剧 剧情 爱情
杀人回忆,8.9,2003,韩国,剧情 动作 犯罪 悬疑 惊悚
致命ID,8.9,2003,美国,剧情 悬疑 惊悚
摩登时代,9.3,1936,美国,剧情 喜剧 爱情
春光乍泄,9.0,1997,中国香港 日本 韩国,剧情 爱情 同性
加勒比海盗,8.8,2003,美国,动作 冒险 奇幻
海豚湾,9.3,2009,美国,纪录片
美国往事,9.1,1984,美国 意大利,犯罪 剧情
红辣椒,9.0,2006,日本,动画 悬疑 科幻 惊悚
七宗罪,8.8,1995,美国,剧情 犯罪 悬疑 惊悚
唐伯虎点秋香,8.8,1993,中国香港,喜剧 爱情 古装
狩猎,9.1,2012,丹麦 瑞典,剧情
幽灵公主,8.9,1997,日本,动画 奇幻 冒险
寄生虫,8.8,2019,韩国,剧情
甜蜜蜜,8.9,1996,中国香港,剧情 爱情
天书奇谭,9.2,1983,2021,中国大陆
蝙蝠侠：黑暗骑士崛起,8.9,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚
超能陆战队,8.8,2014,美国,喜剧 动作 科幻 动画 冒险
7号房的礼物,8.9,2013,韩国,剧情 喜剧 家庭
茶馆,9.5,1982,中国大陆,剧情 历史
第六感,8.9,1999,美国,剧情 悬疑 惊悚
爱在黎明破晓前,8.8,1995,美国 奥地利 瑞士,剧情 爱情
爱在日落黄昏时,8.9,2004,美国 法国,剧情 爱情
头脑特工队,8.8,2015,美国,喜剧 动画 冒险
被嫌弃的松子的一生,8.8,2006,日本,剧情 歌舞
哈利·波特与火焰杯,8.8,2005,英国 美国,悬疑 奇幻 冒险
未麻的部屋,9.1,1997,日本,剧情 犯罪 动画 悬疑 惊悚
重庆森林,8.8,1994,中国香港,剧情 爱情
借东西的小人阿莉埃蒂,8.9,2010,日本,动画 奇幻 冒险
菊次郎的夏天,8.9,1999,日本,剧情 喜剧
入殓师,8.9,2008,日本,剧情
剪刀手爱德华,8.7,1990,美国,剧情 爱情 奇幻
断背山,8.8,2005,美国 加拿大,剧情 爱情 同性 家庭
勇敢的心,8.9,1995,美国,动作 传记 剧情 历史 战争
时空恋旅人,8.8,2013,英国 美国,喜剧 爱情 奇幻
驯龙高手,8.8,2010,美国,动画 奇幻 冒险
傲慢与偏见,8.7,2005,法国 英国 美国,剧情 爱情
无人知晓,9.1,2004,日本,剧情
消失的爱人,8.7,2014,美国,剧情 犯罪 悬疑 惊悚
倩女幽魂,8.8,1987,中国香港,爱情 奇幻 武侠 古装
新世界,8.9,2013,韩国,剧情 犯罪
花样年华,8.8,2000,中国香港,剧情 爱情
玩具总动员3,8.9,2010,美国,喜剧 动画 奇幻 冒险
一个叫欧维的男人决定去死,8.9,2015,瑞典,剧情
色，戒,8.7,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色
完美的世界,9.1,1993,美国,剧情 犯罪
怪兽电力公司,8.8,2001,美国,儿童 喜剧 动画 奇幻 冒险
教父3,9.0,1990,美国,剧情 犯罪
阳光灿烂的日子,8.8,1994,中国大陆 中国香港,剧情 爱情
小森林 夏秋篇,9.0,2014,日本,剧情
天使爱美丽,8.7,2001,法国 德国,剧情 喜剧 爱情
侧耳倾听,8.9,1995,日本,剧情 爱情 动画
哪吒闹海,9.2,1979,中国大陆,冒险 动画 奇幻
九品芝麻官,8.8,1994,中国香港,剧情 喜剧 古装
被解救的姜戈,8.8,2012,美国,剧情 动作 西部 冒险
请以你的名字呼唤我,8.8,2017,意大利 法国 巴西 美国,剧情 爱情 同性
幸福终点站,8.8,2004,美国,喜剧 剧情 爱情
釜山行,8.6,2016,韩国,动作 惊悚 灾难
神偷奶爸,8.7,2010,美国 法国,喜剧 动画 冒险
小森林 冬春篇,9.0,2015,日本,剧情
喜宴,9.0,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭
萤火之森,8.8,2011,日本,剧情 爱情 动画 奇幻
告白,8.8,2010,日本,剧情 悬疑
七武士,9.3,1954,日本,动作 冒险 剧情
玛丽和麦克斯,9.0,2009,澳大利亚 美国,剧情 喜剧 动画
头号玩家,8.6,2018,美国,动作 科幻 冒险
模仿游戏,8.8,2014,英国 美国,剧情 传记 战争 同性
机器人之梦,9.1,2023,西班牙 法国,剧情 动画 音乐
惊魂记,9.0,1960,美国,悬疑 惊悚 恐怖
大鱼,8.8,2003,美国,剧情 爱情 奇幻 冒险
心灵奇旅,8.7,2020,美国,动画 奇幻 音乐
背靠背，脸对脸,9.5,1994,中国大陆 中国香港,剧情
你的名字。,8.5,2016,日本,剧情 爱情 动画
血战钢锯岭,8.7,2016,澳大利亚 美国,剧情 传记 历史 战争
射雕英雄传之东成西就,8.7,1993,中国香港,喜剧 奇幻 武侠 古装
我是山姆,9.0,2001,美国,剧情 家庭
阳光姐妹淘,8.8,2011,韩国,剧情 喜剧
末路狂花,9.0,1991,美国 英国 法国,犯罪 剧情 惊悚
恐怖直播,8.7,2013,韩国,剧情 犯罪 悬疑
黑客帝国3：矩阵革命,8.8,2003,美国,动作 科幻
高山下的花环,9.5,1984,1985,中国大陆
小丑,8.7,2019,美国 加拿大,剧情 犯罪 惊悚
谍影重重3,8.9,2007,美国 德国 法国 英国,动作 悬疑 惊悚
三块广告牌,8.7,2017,英国 美国,剧情 犯罪
电锯惊魂,8.7,2004,美国,悬疑 惊悚 恐怖
无间道2,8.8,2003,中国香港,剧情 犯罪 惊悚
达拉斯买家俱乐部,8.8,2013,美国,剧情 传记 同性
疯狂原始人,8.7,2013,美国,喜剧 动画 冒险
绿里奇迹,8.9,1999,美国,犯罪 剧情 奇幻 悬疑
爱在午夜降临前,8.9,2013,美国 希腊,剧情 爱情
疯狂的石头,8.6,2006,中国大陆 中国香港,喜剧 犯罪
雨中曲,9.1,1952,美国,喜剧 歌舞 爱情
2001太空漫游,8.9,1968,英国 美国,科幻 惊悚 冒险
海街日记,8.8,2015,日本,剧情 家庭
上帝之城,9.0,2002,巴西 法国,犯罪 剧情
心迷宫,8.7,2014,中国大陆,剧情 犯罪 悬疑
风之谷,8.9,1984,日本,动画 奇幻 冒险
英雄本色,8.6,1986,中国香港,剧情 动作 犯罪
记忆碎片,8.7,2000,美国,犯罪 剧情 悬疑 惊悚
纵横四海,8.8,1991,中国香港,剧情 喜剧 动作 犯罪
无敌破坏王,8.7,2012,美国,喜剧 动画 奇幻 冒险
卢旺达饭店,8.9,2004,英国 南非 意大利 美国,剧情 传记 历史 战争
恐怖游轮,8.5,2009,英国 澳大利亚,科幻 悬疑 奇幻 惊悚
牯岭街少年杀人事件,8.9,1991,中国台湾,剧情 犯罪
东京教父,9.0,2003,日本,剧情 喜剧 动画
小偷家族,8.7,2018,日本,剧情 犯罪 家庭
芙蓉镇,9.3,1987,中国大陆,剧情 爱情
魔女宅急便,8.7,1989,日本,动画 奇幻 冒险
冰川时代,8.7,2002,美国,喜剧 动画 冒险
忠犬八公物语,9.2,1987,日本,剧情
岁月神偷,8.7,2010,中国香港 中国大陆,剧情 家庭
遗愿清单,8.7,2007,美国,冒险 喜剧 剧情
荒蛮故事,8.7,2014,阿根廷 西班牙,剧情 喜剧 犯罪
大佛普拉斯,8.7,2017,中国台湾,剧情 喜剧
源代码,8.6,2011,美国 加拿大,科幻 悬疑 惊悚
花束般的恋爱,8.6,2021,日本,剧情 爱情
白日梦想家,8.6,2013,美国 英国,剧情 喜剧 冒险
爱乐之城,8.4,2016,美国,剧情 爱情 歌舞
疯狂的麦克斯4：狂暴之路,8.7,2015,澳大利亚 美国,动作 科幻 冒险
可可西里,8.9,2004,中国大陆 中国香港,剧情 犯罪
你看起来好像很好吃,8.9,2010,日本,剧情 动画 儿童
贫民窟的百万富翁,8.6,2008,英国,剧情 爱情
波西米亚狂想曲,8.6,2018,英国 美国,剧情 传记 同性 音乐
城市之光,9.3,1931,美国,喜剧 剧情 爱情
爆裂鼓手,8.6,2014,美国,剧情 音乐
哈利·波特与死亡圣器(上),8.6,2010,英国 美国,奇幻 冒险
大红灯笼高高挂,8.8,1991,中国大陆 中国香港 中国台湾,剧情
无耻混蛋,8.7,2009,德国 美国,剧情 犯罪
青蛇,8.6,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装
终结者2：审判日,8.8,1991,美国 法国,动作 科幻
东邪西毒,8.6,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装
黑天鹅,8.6,2010,美国,剧情 惊悚
新龙门客栈,8.7,1992,中国香港 中国大陆,动作 爱情 武侠 古装
初恋这件小事,8.5,2010,泰国,剧情 喜剧 爱情
千钧一发,8.8,1997,美国,剧情 科幻 惊悚
人工智能,8.7,2001,美国,剧情 科幻
崖上的波妞,8.6,2008,日本,动画 奇幻 冒险
虎口脱险,8.9,1966,法国 英国,喜剧 战争
雨人,8.7,1988,美国,剧情
哈利·波特与凤凰社,8.6,2007,英国 美国,奇幻 冒险
彗星来的那一夜,8.6,2013,美国 英国,科幻 悬疑 惊悚
罗生门,8.8,1950,日本,剧情 犯罪 悬疑
海边的曼彻斯特,8.6,2016,美国,剧情 家庭
恋恋笔记本,8.5,2004,美国,剧情 爱情
火星救援,8.5,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险
真爱至上,8.5,2003,英国 美国 法国,喜剧 剧情 爱情
黑客帝国2：重装上阵,8.7,2003,美国,动作 科幻
冰雪奇缘,8.5,2013,美国,喜剧 动画 奇幻 歌舞
步履不停,8.8,2008,日本,剧情 家庭
千年女优,8.8,2001,日本,动画 剧情 爱情
奇迹男孩,8.6,2017,美国 中国香港,剧情 儿童 家庭
谍影重重2,8.7,2004,美国 德国,动作 悬疑 惊悚
蜘蛛侠：平行宇宙,8.6,2018,美国,动作 科幻 动画 冒险
战争之王,8.7,2005,美国 德国,剧情 犯罪
攻壳机动队,9.0,1995,日本,动作 科幻 动画
血钻,8.7,2006,美国 德国 英国,剧情 惊悚 冒险
小姐,8.5,2016,韩国,剧情 悬疑 情色 同性
血观音,8.6,2017,中国台湾,剧情 悬疑
隐藏人物,8.9,2016,美国,剧情 传记 历史
魂断蓝桥,8.8,1940,美国,剧情 爱情 战争
房间,8.7,2015,爱尔兰 加拿大 英国 美国,剧情 家庭
